period,receivable_turnover,current_ratio,gross_margin
2023-01,8.00073809201449,1.7960973954065376,0.3130524520257145
2023-02,8.179247322505082,1.906126784085981,0.3185406961149487
2023-03,7.83551728678267,1.729967948070804,0.3388552246593023
2023-04,7.465644896745635,1.7865957660499008,0.3303410585085613
2023-05,7.7271975288969665,1.8132556971899376,0.31509179869666704
2023-06,7.405012067002122,1.8076538129106074,0.31447136158850064
2023-07,8.036086161558464,1.652993300829877,0.31624706899223115
2023-08,8.80412914733272,1.809136827645241,0.3428529410068424
2023-09,7.704676088869202,1.9630588106089846,0.313579625861407
2023-10,7.627715060108036,1.6143426386245823,0.3154447941745291
2023-11,8.293905230111118,1.9031259225625918,0.325288836009279
2023-12,8.214132204896037,1.8143224830835898,0.31818844332370316
2024-01,8.06324854939874,1.7230235527071334,0.3170407365805142
2024-02,7.441719173175077,2.0400499855610907,0.30328899285273414
2024-03,7.982448906522036,1.8914711654501655,0.3198271779794218
2024-04,8.417181916674974,1.6560853317473732,0.3133462816553837
2024-05,7.193471271628951,1.8089419474525756,0.33749191664285333
2024-06,7.725430543375869,1.8692027500404222,0.32979632754051746
2024-07,6.859266356119494,2.67734614495791,0.31963784580485105
2024-08,7.226277356129014,1.8819492320634248,0.21002571534901016
2024-09,6.89495897732496,1.7920179215820702,0.31490195672430277
2024-10,7.858945321355192,1.8800697073001194,0.33578189537640424
2024-11,7.239532111133778,1.9726227109987382,0.3199190065899256
2024-12,8.16275861529302,1.7189205298793218,0.3287507353127062
2025-01,8.094050651974536,1.824376633246753,0.3006366013201477
2025-02,7.887841433222027,1.7444030908153902,0.32520020073317646
2025-03,6.489944173507692,1.8152722093470997,0.29467693823950186
2025-04,7.676784262492018,1.6575366566579832,0.289470065825901
2025-05,7.9708994327593565,1.7304838084196792,0.31543284683432843
2025-06,8.067985391601985,1.7764564832634604,0.3065010858860211
2025-07,2.5819185406967637,1.907851664652049,0.32246079193568333
2025-08,7.713348034379641,1.9374266408944958,0.3536713493972907
2025-09,7.412888553166017,1.6411766649018895,0.3075241522788188
2025-10,7.514697656344641,1.7046429160815542,0.3106408462033414
2025-11,8.636539174031647,1.8776284107088106,0.32308105919097047
2025-12,7.515479194800863,1.5609096258990607,0.32739519937118533
